idAutobus,marcaTiempo,latitud,longitud,velocidad
BUSB4,2025-05-01 08:00,37.389100,-5.930100,25.0
BUSB4,2025-05-01 08:01,37.388680,-5.929180,25.0
BUSB4,2025-05-01 08:02,37.388260,-5.928260,25.0
BUSB4,2025-05-01 08:03,37.387840,-5.927340,25.0
BUSB4,2025-05-01 08:04,37.387420,-5.926420,25.0
BUSB4,2025-05-01 08:05,37.387000,-5.925500,25.0
BUSB4,2025-05-01 08:06,37.386800,-5.925000,25.0
BUSB4,2025-05-01 08:07,37.386600,-5.924500,25.0
BUSB4,2025-05-01 08:08,37.386400,-5.924000,25.0
BUSB4,2025-05-01 08:09,37.386200,-5.923500,25.0
BUSB4,2025-05-01 08:10,37.386000,-5.923000,25.0
BUSB4,2025-05-01 08:11,37.385800,-5.922600,25.0
BUSB4,2025-05-01 08:12,37.385600,-5.922200,25.0
BUSB4,2025-05-01 08:13,37.385400,-5.921800,25.0
BUSB4,2025-05-01 08:14,37.385200,-5.921400,25.0
BUSB4,2025-05-01 08:15,37.385000,-5.921000,25.0
BUSB4,2025-05-01 08:16,37.384800,-5.920600,25.0
BUSB4,2025-05-01 08:17,37.384600,-5.920200,25.0
BUSB4,2025-05-01 08:18,37.384400,-5.919800,25.0
BUSB4,2025-05-01 08:19,37.384200,-5.919400,25.0
BUSB4,2025-05-01 08:20,37.384000,-5.919000,25.0
BUSB4,2025-05-01 08:21,37.383800,-5.918600,25.0
BUSB4,2025-05-01 08:22,37.383600,-5.918200,25.0
BUSB4,2025-05-01 08:23,37.383400,-5.917800,25.0
BUSB4,2025-05-01 08:24,37.383200,-5.917400,25.0
BUSB4,2025-05-01 08:25,37.383000,-5.917000,25.0
BUSB4,2025-05-01 08:26,37.382800,-5.916600,25.0
BUSB4,2025-05-01 08:27,37.382600,-5.916200,25.0
BUSB4,2025-05-01 08:28,37.382400,-5.915800,25.0
BUSB4,2025-05-01 08:29,37.382200,-5.915400,25.0
BUSB4,2025-05-01 08:30,37.382000,-5.915000,25.0
BUSB4,2025-05-01 08:31,37.381800,-5.914600,25.0
BUSB4,2025-05-01 08:32,37.381600,-5.914200,25.0
BUSB4,2025-05-01 08:33,37.381400,-5.913800,25.0
BUSB4,2025-05-01 08:34,37.381200,-5.913400,25.0
BUSB4,2025-05-01 08:35,37.381000,-5.913000,25.0
BUSB4,2025-05-01 08:36,37.380800,-5.912600,25.0
BUSB4,2025-05-01 08:37,37.380600,-5.912200,25.0
BUSB4,2025-05-01 08:38,37.380400,-5.911800,25.0
BUSB4,2025-05-01 08:39,37.380200,-5.911400,25.0
BUSB4,2025-05-01 08:40,37.380000,-5.911000,25.0
BUSB4,2025-05-01 08:41,37.379800,-5.910600,25.0
BUSB4,2025-05-01 08:42,37.379600,-5.910200,25.0
BUSB4,2025-05-01 08:43,37.379400,-5.909800,25.0
BUSB4,2025-05-01 08:44,37.379200,-5.909400,25.0
BUSB4,2025-05-01 08:45,37.379000,-5.909000,25.0
BUSB4,2025-05-01 08:46,37.378800,-5.908600,25.0
BUSB4,2025-05-01 08:47,37.378600,-5.908200,25.0
BUSB4,2025-05-01 08:48,37.378400,-5.907800,25.0
BUSB4,2025-05-01 08:49,37.378200,-5.907400,25.0
BUSB4,2025-05-01 08:50,37.378000,-5.907000,25.0
BUSB4,2025-05-01 08:51,37.377800,-5.906600,25.0
BUSB4,2025-05-01 08:52,37.377600,-5.906200,25.0
BUSB4,2025-05-01 08:53,37.377400,-5.905800,25.0
BUSB4,2025-05-01 08:54,37.377200,-5.905400,25.0
BUSB4,2025-05-01 08:55,37.377000,-5.905000,0.0
