idAutobus,marcaTiempo,latitud,longitud,velocidad
BUS27,2025-05-01T08:00:00,37.3891,-5.9301,25.0
BUS27,2025-05-01T08:01:00,37.38895,-5.929575,25.0
BUS27,2025-05-01T08:02:00,37.3888,-5.92905,25.0
BUS27,2025-05-01T08:03:00,37.38865,-5.9285250000000005,25.0
BUS27,2025-05-01T08:04:00,37.3885,-5.928,25.0
BUS27,2025-05-01T08:05:00,37.388125,-5.927375,25.0
BUS27,2025-05-01T08:06:00,37.38775,-5.92675,25.0
BUS27,2025-05-01T08:07:00,37.387375,-5.926125000000001,25.0
BUS27,2025-05-01T08:08:00,37.387,-5.9255,25.0
BUS27,2025-05-01T08:09:00,37.38675,-5.924875,25.0
BUS27,2025-05-01T08:10:00,37.3865,-5.924250000000001,25.0
BUS27,2025-05-01T08:11:00,37.386250000000004,-5.923625,25.0
BUS27,2025-05-01T08:12:00,37.386,-5.923,25.0
BUS27,2025-05-01T08:13:00,37.38575,-5.9225,25.0
BUS27,2025-05-01T08:14:00,37.3855,-5.922000000000001,25.0
BUS27,2025-05-01T08:15:00,37.38525,-5.9215,25.0
BUS27,2025-05-01T08:16:00,37.385,-5.921,25.0
BUS27,2025-05-01T08:17:00,37.38475,-5.9205000000000005,25.0
BUS27,2025-05-01T08:18:00,37.3845,-5.92,25.0
BUS27,2025-05-01T08:19:00,37.38425,-5.919499999999999,25.0
BUS27,2025-05-01T08:20:00,37.384,-5.919,25.0
BUS27,2025-05-01T08:21:00,37.38375,-5.9185,25.0
BUS27,2025-05-01T08:22:00,37.3835,-5.917999999999999,25.0
BUS27,2025-05-01T08:23:00,37.383250000000004,-5.9174999999999995,25.0
BUS27,2025-05-01T08:24:00,37.383,-5.917,25.0
BUS27,2025-05-01T08:25:00,37.38275,-5.9165,25.0
BUS27,2025-05-01T08:26:00,37.3825,-5.916,25.0
BUS27,2025-05-01T08:27:00,37.38225,-5.9155,25.0
BUS27,2025-05-01T08:28:00,37.382,-5.915,25.0
BUS27,2025-05-01T08:29:00,37.38175,-5.9145,25.0
BUS27,2025-05-01T08:30:00,37.3815,-5.914,25.0
BUS27,2025-05-01T08:31:00,37.38125,-5.9135,25.0
BUS27,2025-05-01T08:32:00,37.381,-5.913,25.0
BUS27,2025-05-01T08:33:00,37.38075,-5.9125,25.0
BUS27,2025-05-01T08:34:00,37.3805,-5.912,25.0
BUS27,2025-05-01T08:35:00,37.380250000000004,-5.9115,25.0
BUS27,2025-05-01T08:36:00,37.38,-5.911,25.0
BUS27,2025-05-01T08:37:00,37.37975,-5.9105,25.0
BUS27,2025-05-01T08:38:00,37.3795,-5.91,25.0
BUS27,2025-05-01T08:39:00,37.37925,-5.9094999999999995,25.0
BUS27,2025-05-01T08:40:00,37.379,-5.909,25.0
BUS27,2025-05-01T08:41:00,37.37875,-5.9085,25.0
BUS27,2025-05-01T08:42:00,37.3785,-5.9079999999999995,25.0
BUS27,2025-05-01T08:43:00,37.37825,-5.9075,25.0
BUS27,2025-05-01T08:44:00,37.378,-5.907,25.0
BUS27,2025-05-01T08:45:00,37.37775,-5.9065,25.0
BUS27,2025-05-01T08:46:00,37.3775,-5.906000000000001,25.0
BUS27,2025-05-01T08:47:00,37.377250000000004,-5.9055,25.0
BUS27,2025-05-01T08:48:00,37.377,-5.905,25.0
BUS27,2025-05-01T08:49:00,37.37675,-5.9045000000000005,25.0
BUS27,2025-05-01T08:50:00,37.3765,-5.904,25.0
BUS27,2025-05-01T08:51:00,37.37625,-5.903499999999999,25.0
BUS27,2025-05-01T08:52:00,37.376,-5.903,25.0
BUS27,2025-05-01T08:53:00,37.37575,-5.9025,25.0
BUS27,2025-05-01T08:54:00,37.3755,-5.901999999999999,25.0
BUS27,2025-05-01T08:55:00,37.37525,-5.9014999999999995,25.0
BUS27,2025-05-01T08:56:00,37.375,-5.901,0.0
